organism/marker;rps16;rpoC1;matK;rbcL;rpl16;ITS
Aciphylla_aurea;-;-;U58541.1;AY188411.1;GQ243901.1;U72377.1
Actinolema_eryngioides;DQ832336.1;-;-;-;GQ243948.1;-
Actinotus_helianthi;DQ133826.1;-;AF271760.1;DQ133797.1;GQ243879.1;-
Aegopodium_podagraria;DQ133827.1;-;JN895997.1;KM360614.1;GQ243904.1;MT937105.1
Aethusa_cynapium;AF110539.1;U36278.1;KJ204433.1;KM360617.1;AF094406.1;GQ862376.1
Alepidea_amatymbica;DQ832338.1;-;-;-;-;-
Alepidea_peduncularis;EU168945.1;-;ON981939.1;-;GQ243950.1;-
Ammi_majus;AF164814.1;MT513169.1;HM850716.1;JQ230996.1;MW036669.1;JQ230973.1
Ammi_seubertianum;KJ473903.1;-;-;-;-;-
Ammoides_pusilla;MW589409.1;-;-;-;-;HE602454.1
Anethum_foeniculum;-;-;-;MG223784.1;-;-
Anethum_graveolens;AF110542.1;U36281.1;EU016725.1;EU016783.1;AF094418.1;ON685466.1
Angelica_archangelica;AF110536.1;U36279.1;GQ248079.1;GQ248549.1;AF094362.1;OQ064632.1
Anginon_difforme;-;-;-;JX572304.1;-;-
Annesorhiza_altiscapa;AF110582.1;-;-;AM234812.1;GQ243913.1;-
Anthriscus_cerefolium;MK142826.1;MK142859.1;KX676656.1;MG224426.1;AF094353.1;ON685495.1
Anthriscus_sylvestris;GU395133.1;KT347806.1;JN896153.1;KM360636.1;FJ385078.1;AY548228.1
Aphanopleura_capillifolia;-;-;-;-;-;DQ516368.1
Aralia_spinosa;AJ431082.1;U72481.1;AJ429371.1;L11166.1;AF094458.1;-
Arctopus_echinatus;DQ832351.1;-;AF271761.1;AY188414.1;GQ243952.1;-
Arracacia_aegopodioides;-;-;U58549.2;U50223.1;-;GQ862378.1
Arracacia_longipedunculata;-;-;-;-;-;GQ862406.1
Arracacia_tolucensis;-;-;-;-;-;GQ862429.1
Asteriscium_chilense;KM672083.1;-;DQ133784.1;DQ133799.1;GQ243961.1;-
Astrodaucus_orientalis;AF123748.1;MK142861.1;-;-;AF094343.1;FJ415108.1
Athamanta_cretensis;MK142828.1;MK142862.1;-;KF602101.1;-;KT347716.1
Athamanta_turbith;-;-;-;-;-;AH008964.2
Azorella_acaulis;KM672065.1;-;-;AY188423.1;GQ244007.1;-
Azorella_albovaginata;-;-;-;-;JX034771.1;-
Azorella_ameghinoi;KM672061.1;-;-;-;JX034832.1;-
Azorella_andina;KM672066.1;-;-;-;GQ244008.1;-
Azorella_echinus;KM672004.1;-;-;-;-;-
Azorella_haastii;-;-;-;-;GQ244023.1;-
Azorella_nivalis;KM672006.1;-;-;-;-;-
Azorella_prolifera;KM672010.1;-;AY188402.1;AY188428.1;JX034777.1;-
Azorella_trifoliolata;KM672055.1;-;AY188397.1;-;JX034831.1;-
Bifora_radians;AF164809.1;-;-;-;-;-
Bowlesia_lobata;-;-;-;-;GQ243981.1;-
Bowlesia_tropaeolifolia;KM672086.1;-;-;-;GQ243983.1;-
Bupleurum_aureum;KF573906.1;-;HQ687972.1;HQ688072.1;-;-
Bupleurum_boissieuanum;-;-;-;HQ688075.1;-;-
Bupleurum_chaishoui;-;-;-;HQ688082.1;-;-
Bupleurum_chinense;-;-;JQ794924.1;JQ934490.1;-;-
Bupleurum_commelynoideum;-;-;-;HQ688103.1;-;-
Bupleurum_dalhousieanum;-;-;-;JN817986.1;-;-
Bupleurum_densiflorum;-;-;-;JN818000.1;-;-
Bupleurum_exaltatum;-;-;-;HQ688110.1;-;-
Bupleurum_falcatum;AF110566.1;-;JQ794929.1;U50224.1;-;-
Bupleurum_fruticosum;AF110569.1;-;-;D44556.1;-;-
Bupleurum_komarovianum;-;-;-;HQ688120.1;-;-
Bupleurum_krylovianum;-;-;-;JN817999.1;-;-
Bupleurum_longicaule;-;-;-;HQ688125.1;-;-
Bupleurum_longiradiatum;-;-;JQ794941.1;HQ688128.1;-;-
Bupleurum_malconense;-;-;-;HQ688136.1;-;-
Bupleurum_marginatum;-;-;-;HQ688141.1;-;-
Bupleurum_praealtum;-;-;HE970681.1;HE963363.1;-;-
Bupleurum_pusillum;-;-;HQ824758.1;-;-;-
Bupleurum_ranunculoides;AF110564.1;U72456.1;-;-;AF094441.1;-
Bupleurum_rotundifolium;AF110567.1;-;MK926096.1;MK925534.1;AF094442.1;-
Bupleurum_scorzonerifolium;-;-;-;JQ934495.1;-;-
Bupleurum_sibiricum;-;-;-;HQ688158.1;-;-
Bupleurum_smithii;-;-;JQ023659.1;HQ688162.1;-;-
Bupleurum_stellatum;-;-;-;HG416974.1;-;-
Bupleurum_tenuissimum;-;-;JN895623.1;JN892975.1;-;-
Bupleurum_yinchowense;-;-;JQ794928.1;HQ688165.1;-;-
Carum_buriaticum;MW589415.1;-;MN273526.1;MN204657.1;-;JQ792206.1
Carum_carvi;FJ385182.1;U72435.1;MN167187.1;KF602102.1;AF094392.1;MT922584.1
Centella_asiatica;EU188437.1;U72465.1;MN886299.1;D44559.1;AF094454.1;-
Chaerophyllum_aromaticum;-;-;-;-;-;KJ956479.1
Chaerophyllum_aureum;EF544476.1;-;-;KF602103.1;-;KJ956485.1
Chaerophyllum_elegans;-;-;-;-;-;KJ956512.1
Chaerophyllum_hirsutum;-;-;-;KF602104.1;-;AM284415.1
Chaerophyllum_temulum;-;-;JN895813.1;KM360710.1;AF094354.1;KJ956565.1
Chamaesium_paradoxum;FJ385184.1;-;KT280193.1;KT280087.1;FJ385085.1;-
