name,sites,lnL,parameters,subsets,aic,aicc,bic
1,5964,-71040.52,329,1,142739.03,142777.57,144941.19
2,5964,-70834.74,340,2,142349.47,142390.71,144625.26
3,5964,-70918.02,340,2,142516.04,142557.27,144791.82
4,5964,-70704.42,340,2,142088.85,142130.09,144364.64
5,5964,-70683.07,351,3,142068.15,142112.18,144417.57
6,5964,-70856.64,339,2,142391.27,142432.26,144660.37
7,5964,-70634.91,339,2,141947.82,141988.81,144216.92
8,5964,-70600.45,350,3,141900.90,141944.68,144243.63
9,5964,-70788.00,339,2,142253.99,142294.98,144523.09
10,5964,-70495.08,340,2,141670.16,141711.40,143945.95
11,5964,-70488.76,350,3,141677.51,141721.29,144020.24
12,5964,-70717.61,350,3,142135.22,142179.00,144477.95
13,5964,-70452.83,350,3,141605.66,141649.43,143948.38
14,5964,-70439.72,350,3,141579.44,141623.21,143922.17
15,5964,-70418.37,361,4,141558.74,141605.40,143975.09
16,5964,-70754.69,333,2,142175.39,142214.90,144404.32
17,5964,-70748.50,340,2,142177.01,142218.25,144452.80
18,5964,-70565.46,344,3,141818.92,141861.17,144121.49
19,5964,-70674.76,340,2,142029.52,142070.76,144305.31
20,5964,-70568.28,340,2,141816.55,141857.79,144092.34
21,5964,-70445.75,351,3,141593.50,141637.53,143942.91
22,5964,-70593.03,344,3,141874.06,141916.31,144176.63
23,5964,-70547.06,351,3,141796.12,141840.15,144145.54
24,5964,-70385.37,344,3,141458.74,141500.98,143761.30
25,5964,-70364.02,355,4,141438.04,141483.11,143814.23
26,5964,-70838.06,340,2,142356.13,142397.37,144631.92
27,5964,-70686.89,340,2,142053.78,142095.02,144329.57
28,5964,-70604.70,351,3,141911.39,141955.42,144260.81
29,5964,-70693.71,340,2,142067.43,142108.67,144343.22
30,5964,-70474.23,340,2,141628.45,141669.69,143904.24
31,5964,-70408.70,351,3,141519.39,141563.43,143868.81
32,5964,-70662.86,351,3,142027.73,142071.76,144377.14
33,5964,-70460.04,351,3,141622.08,141666.11,143971.50
34,5964,-70399.20,351,3,141500.39,141544.42,143849.81
35,5964,-70377.85,362,4,141479.69,141526.61,143902.74
36,5964,-70606.33,343,3,141898.66,141940.65,144194.53
37,5964,-70556.00,350,3,141812.01,141855.78,144154.73
38,5964,-70407.42,343,3,141500.84,141542.83,143796.71
39,5964,-70372.96,354,4,141453.92,141498.73,143823.42
40,5964,-70512.86,350,3,141725.72,141769.49,144068.44
41,5964,-70350.37,350,3,141400.74,141444.52,143743.47
42,5964,-70262.30,350,3,141224.60,141268.37,143567.33
43,5964,-70227.84,361,4,141177.68,141224.34,143594.04
44,5964,-70501.51,343,3,141689.03,141731.02,143984.90
45,5964,-70399.54,350,3,141499.08,141542.85,143841.80
46,5964,-70222.82,344,3,141133.65,141175.89,143436.21
47,5964,-70216.50,354,4,141140.99,141185.80,143510.49
48,5964,-70431.13,354,4,141570.26,141615.07,143939.76
49,5964,-70329.15,361,4,141380.31,141426.96,143796.66
50,5964,-70180.57,354,4,141069.14,141113.95,143438.64
51,5964,-70167.46,354,4,141042.92,141087.73,143412.42
52,5964,-70146.11,365,5,141022.22,141069.95,143465.35
53,5964,-70850.24,339,2,142378.48,142419.47,144647.58
54,5964,-70606.28,340,2,141892.56,141933.80,144168.35
55,5964,-70590.25,350,3,141880.50,141924.28,144223.23
56,5964,-70733.58,340,2,142147.17,142188.41,144422.96
57,5964,-70447.97,340,2,141575.95,141617.18,143851.73
58,5964,-70433.26,351,3,141568.52,141612.55,143917.94
59,5964,-70703.06,350,3,142106.12,142149.89,144448.84
60,5964,-70418.77,351,3,141539.54,141583.57,143888.95
61,5964,-70424.09,350,3,141548.17,141591.95,143890.90
62,5964,-70402.74,361,4,141527.47,141574.13,143943.83
63,5964,-70680.81,339,2,142039.62,142080.61,144308.72
64,5964,-70358.80,339,2,141395.61,141436.60,143664.70
