Model selection results for subset: 8861b983b5a3157bfc838c9a28f331e0
Subset alignment stored here: ./analysis/phylofiles/8861b983b5a3157bfc838c9a28f331e0.phy
This subset contains the following data_blocks: ITS
Number of columns in subset: 641
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
SYM+I+G         | 7               | -18780.3        | 37574.8          | 37574.7         | 37605.9        
GTR+I+G         | 10              | -18802.0        | 37624.3          | 37624.0         | 37668.6        
SYM+G           | 6               | -18826.3        | 37664.8          | 37664.7         | 37691.5        
GTR+G           | 9               | -18845.8        | 37709.9          | 37709.6         | 37749.8        
K80+I+G         | 3               | -18976.0        | 37958.1          | 37958.0         | 37971.4        
K80+G           | 2               | -19026.3        | 38056.7          | 38056.7         | 38065.6        
HKY+I+G         | 6               | -19048.0        | 38108.2          | 38108.0         | 38134.8        
HKY+G           | 5               | -19101.1        | 38212.4          | 38212.3         | 38234.6        
SYM+I           | 6               | -19505.4        | 39023.0          | 39022.9         | 39049.7        
GTR+I           | 9               | -19537.6        | 39093.6          | 39093.3         | 39133.4        
JC+I+G          | 2               | -19651.9        | 39307.8          | 39307.8         | 39316.8        
JC+G            | 1               | -19701.9        | 39405.9          | 39405.9         | 39410.4        
K80+I           | 2               | -19730.4        | 39464.8          | 39464.8         | 39473.7        
F81+I+G         | 5               | -19743.8        | 39497.7          | 39497.6         | 39519.9        
F81+G           | 4               | -19795.4        | 39598.8          | 39598.7         | 39616.6        
HKY+I           | 5               | -19795.9        | 39602.0          | 39601.9         | 39624.2        
JC+I            | 1               | -20383.2        | 40768.4          | 40768.4         | 40772.9        
SYM             | 5               | -20412.4        | 40834.9          | 40834.8         | 40857.1        
GTR             | 8               | -20462.6        | 40941.4          | 40941.2         | 40976.9        
F81+I           | 4               | -20471.5        | 40951.1          | 40951.0         | 40968.9        
K80             | 1               | -20672.7        | 41347.4          | 41347.4         | 41351.9        
HKY             | 4               | -20753.3        | 41514.6          | 41514.5         | 41532.4        
JC              | 0               | -21312.2        | 42624.3          | 42624.3         | 42624.3        
F81             | 3               | -21408.6        | 42823.3          | 42823.2         | 42836.6        
