Model selection results for subset: a457d10418d5dfeee2c10f0e0c4c8269
Subset alignment stored here: ./analysis/phylofiles/a457d10418d5dfeee2c10f0e0c4c8269.phy
This subset contains the following data_blocks: rpl16
Number of columns in subset: 566
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
GTR+G           | 9               | -8762.32        | 17543.0          | 17542.6         | 17581.7        
GTR+I+G         | 10              | -8762.33        | 17545.1          | 17544.7         | 17588.0        
HKY+G           | 5               | -8851.23        | 17712.6          | 17712.5         | 17734.2        
HKY+I+G         | 6               | -8851.23        | 17714.6          | 17714.5         | 17740.5        
SYM+G           | 6               | -8884.6         | 17781.4          | 17781.2         | 17807.2        
SYM+I+G         | 7               | -8884.6         | 17783.4          | 17783.2         | 17813.6        
GTR+I           | 9               | -8901.03        | 17820.4          | 17820.1         | 17859.1        
F81+G           | 4               | -8918.9         | 17845.9          | 17845.8         | 17863.2        
F81+I+G         | 5               | -8918.9         | 17847.9          | 17847.8         | 17869.5        
K80+G           | 2               | -8940.79        | 17885.6          | 17885.6         | 17894.2        
K80+I+G         | 3               | -8940.79        | 17887.6          | 17887.6         | 17900.6        
HKY+I           | 5               | -8991.21        | 17992.5          | 17992.4         | 18014.1        
JC+G            | 1               | -8997.55        | 17997.1          | 17997.1         | 18001.4        
JC+I+G          | 2               | -8997.55        | 17999.1          | 17999.1         | 18007.8        
GTR             | 8               | -8997.42        | 18011.1          | 18010.8         | 18045.6        
SYM+I           | 6               | -9060.18        | 18132.5          | 18132.4         | 18158.4        
F81+I           | 4               | -9065.7         | 18139.5          | 18139.4         | 18156.8        
HKY             | 4               | -9094.95        | 18198.0          | 18197.9         | 18215.3        
K80+I           | 2               | -9107.22        | 18218.5          | 18218.4         | 18227.1        
JC+I            | 1               | -9163.85        | 18329.7          | 18329.7         | 18334.0        
F81             | 3               | -9168.14        | 18342.3          | 18342.3         | 18355.3        
SYM             | 5               | -9170.75        | 18351.6          | 18351.5         | 18373.2        
K80             | 1               | -9218.75        | 18439.5          | 18439.5         | 18443.8        
JC              | 0               | -9275.59        | 18551.2          | 18551.2         | 18551.2        
