Model selection results for subset: af55ea200c2e2e2b45c30e7d25d1b706
Subset alignment stored here: ./analysis/phylofiles/af55ea200c2e2e2b45c30e7d25d1b706.phy
This subset contains the following data_blocks: rbcL
Number of columns in subset: 1407
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
GTR+I+G         | 10              | -8702.69        | 17425.5          | 17425.4         | 17477.9        
SYM+I+G         | 7               | -8712.88        | 17439.8          | 17439.8         | 17476.5        
K80+I+G         | 3               | -8722.34        | 17450.7          | 17450.7         | 17466.4        
HKY+I+G         | 6               | -8724.41        | 17460.9          | 17460.8         | 17492.3        
GTR+G           | 9               | -8756.91        | 17532.0          | 17531.8         | 17579.1        
SYM+G           | 6               | -8766.66        | 17545.4          | 17545.3         | 17576.8        
K80+G           | 2               | -8776.02        | 17556.0          | 17556.0         | 17566.5        
HKY+G           | 5               | -8777.95        | 17565.9          | 17565.9         | 17592.1        
GTR+I           | 9               | -8860.7         | 17739.5          | 17739.4         | 17786.6        
SYM+I           | 6               | -8871.71        | 17755.5          | 17755.4         | 17786.9        
JC+I+G          | 2               | -8878.19        | 17760.4          | 17760.4         | 17770.9        
K80+I           | 2               | -8883.86        | 17771.7          | 17771.7         | 17782.2        
HKY+I           | 5               | -8881.29        | 17772.6          | 17772.6         | 17798.8        
F81+I+G         | 5               | -8884.63        | 17779.3          | 17779.3         | 17805.5        
JC+G            | 1               | -8931.57        | 17865.1          | 17865.1         | 17870.4        
F81+G           | 4               | -8938.01        | 17884.0          | 17884.0         | 17905.0        
JC+I            | 1               | -9039.36        | 18080.7          | 18080.7         | 18086.0        
F81+I           | 4               | -9043.36        | 18094.8          | 18094.7         | 18115.7        
GTR             | 8               | -9349.0         | 18714.1          | 18714.0         | 18756.0        
SYM             | 5               | -9363.6         | 18737.2          | 18737.2         | 18763.4        
K80             | 1               | -9378.85        | 18759.7          | 18759.7         | 18764.9        
HKY             | 4               | -9377.19        | 18762.4          | 18762.4         | 18783.4        
JC              | 0               | -9533.57        | 19067.1          | 19067.1         | 19067.1        
F81             | 3               | -9535.73        | 19077.5          | 19077.5         | 19093.2        
