Model selection results for subset: dfe2dea3da8d87a75322423fd2d0358f
Subset alignment stored here: ./analysis/phylofiles/dfe2dea3da8d87a75322423fd2d0358f.phy
This subset contains the following data_blocks: matK, rpoC1, rps16
Number of columns in subset: 3350
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
GTR+I+G         | 10              | -33436.8        | 66893.7          | 66893.7         | 66954.8        
GTR+G           | 9               | -33445.0        | 66908.1          | 66908.1         | 66963.1        
HKY+I+G         | 6               | -33708.3        | 67428.6          | 67428.6         | 67465.3        
HKY+G           | 5               | -33716.7        | 67443.4          | 67443.4         | 67473.9        
SYM+I+G         | 7               | -33773.1        | 67560.2          | 67560.1         | 67603.0        
SYM+G           | 6               | -33782.1        | 67576.3          | 67576.3         | 67613.0        
GTR+I           | 9               | -33839.4        | 67696.9          | 67696.8         | 67751.9        
K80+I+G         | 3               | -34015.8        | 68037.7          | 68037.7         | 68056.0        
K80+G           | 2               | -34024.9        | 68053.8          | 68053.8         | 68066.0        
F81+I+G         | 5               | -34110.5        | 68231.0          | 68231.0         | 68261.6        
F81+G           | 4               | -34119.2        | 68246.4          | 68246.3         | 68270.8        
HKY+I           | 5               | -34133.2        | 68276.4          | 68276.3         | 68306.9        
SYM+I           | 6               | -34298.1        | 68608.2          | 68608.1         | 68644.9        
JC+I+G          | 2               | -34385.3        | 68774.6          | 68774.6         | 68786.8        
JC+G            | 1               | -34394.3        | 68790.6          | 68790.6         | 68796.7        
GTR             | 8               | -34492.6        | 69001.3          | 69001.3         | 69050.2        
K80+I           | 2               | -34519.1        | 69042.2          | 69042.2         | 69054.4        
F81+I           | 4               | -34557.8        | 69123.7          | 69123.7         | 69148.2        
HKY             | 4               | -34833.1        | 69674.2          | 69674.1         | 69698.6        
JC+I            | 1               | -34888.6        | 69779.1          | 69779.1         | 69785.3        
SYM             | 5               | -35096.3        | 70202.6          | 70202.6         | 70233.2        
F81             | 3               | -35290.8        | 70587.7          | 70587.7         | 70606.0        
K80             | 1               | -35310.3        | 70622.7          | 70622.7         | 70628.8        
JC              | 0               | -35679.1        | 71358.3          | 71358.3         | 71358.3        
